label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
2	702 kg	-0.5706	volleyball	Irvine, Oakland	0.2856	1679	1.5196	track & field	-249 m	Fremont, Los Angeles, San Diego	-0.7513	0.6481
4	2428 kg	0.4323	basketball	San Francisco, Long Beach	0.0476	444	1.6216	badminton	-29 m	Stockton	-0.4514	-0.298
2	-641 kg	1.6922	volleyball	Irvine	0.2797	148	0.7447	motor sports	685 m	San Diego, Los Angeles, San Bernardino, Fremont	-0.0054	1.1288
2	258 kg	-0.2496	volleyball	Oakland	0.6834	306	1.7024	running	1438 m	Sacramento	1.3229	-0.3798
4	826 kg	0.4144	BASKETBALL	Long Beach	-0.0092	1423	0.8562	soccer	17 m	Moreno Valley, Modesto	1.0896	0.1171
1	164 kg	0.1992	baseball	Riverside, Modesto	-0.0148	824	0.3483	track & field	439 m	Chula Vista, Santa Ana, San Jose	-0.7388	-0.0773
5	1818 kg	0.6503	GOLF	Stockton	2.7935	1905	-0.1567	basketball	-439 m	Santa Clarita	0.4239	-0.069
0	1829 kg	0.3902	tennis	San Diego, Sacramento, Bakersfield	0.4246	2746	1.0551	baseball	545 m	Fresno	-0.1124	0.9679
3	-1309 kg	2.4126	baseball	San Jose	1.0876	297	0.8034	badminton	178 m	San Francisco	2.6787	0.2391
3	629 kg	-0.779	baseball	Santa Clarita	0.6135	3	0.7474	badminton	621 m	Riverside	-0.6261	-1.3932
1	-1781 kg	-1.7809	track & field	Riverside, Santa Ana, Modesto	0.9101	111	0.4386	track & field	150 m	Anaheim, Irvine, Chula Vista	0.7167	0.9502
3	209 kg	0.9896	baseball	Santa Clarita	-0.148	2055	-0.0634	badminton	162 m	San Francisco	2.4894	0.8536
0	1058 kg	0.3377	tennis	San Diego	0.4259	796	0.5815	baseball	None	Fresno	0.8454	0.4047
5	1067 kg	1.6311	running	Stockton	0.5779	-148	-0.4742	basketball	-997 m	Santa Clarita	0.2185	0.5219
5	1114 kg	1.2819	golf	Stockton	0.1531	-66	0.4416	basketball	1171 m	Fresno	-0.1516	1.8363
1	2078 kg	0.8575	motor sports	Riverside, Fresno	0.4635	-278	1.9448	golf	74 m	Irvine	0.5841	1.3594
2	833 kg	1.0922	volleyball	Irvine	-0.0017	1127	1.3852	running	2057 m	San Diego, Oakland, San Bernardino, Los Angeles	1.3541	0.515
0	-478 kg	1.4413	tennis	Los Angeles, Anaheim	2.1454	801	-0.963	baseball	1399 m	Sacramento	1.0829	0.2746
5	1198 kg	-0.0518	ice hockey	Stockton	0.4562	-397	0.4011	basketball	1556 m	Long Beach	0.0945	0.3689
3	-112 kg	0.8409	boxing	San Jose	1.0855	-944	0.8957	ice hockey	72 m	irvine, santa ana, san jose	0.704	0.3682
4	303 kg	-0.2233	basketball	San Francisco	-0.1503	455	0.0156	soccer	1961 m	Moreno Valley	0.3408	0.4471
5	-273 kg	-0.2456	golf	Sacramento, Fremont, Anaheim	-0.5809	146	0.8157	basketball	2804 m	Long Beach	-0.331	0.3703
0	418 kg	1.3382	football	Fremont, Los Angeles, Sacramento, San Diego, Bakersfield	1.5364	1149	1.1131	BASEBALL	577 m	Sacramento	1.037	0.909
0	-1012 kg	1.1563	tennis	Anaheim, Sacramento, San Diego, Los Angeles, Bakersfield	1.1873	1134	0.3024	baseball	682 m	Fresno	2.4446	0.728
1	1372 kg	0.8261	motor sports	Santa Ana, Moreno Valley	0.1688	-435	0.785	golf	527 m	Anaheim, Santa Ana, Chula Vista, San Jose	-0.0346	1.1477
4	619 kg	-0.2743	basketball	San Bernardino	-1.3557	789	0.6658	soccer	-458 m	?	0.1996	0.5171
2	876 kg	0.4846	volleyball	Irvine	0.3813	1626	1.4447	boxing	1902 m	Los Angeles, Fremont, San Diego	n/a	-0.3648
5	1477 kg	0.5396	basketball	Stockton	1.3996	1254	NULL	basketball	1216 m	Long Beach	0.8296	?
2	-426 kg	0.6765	volleyball	N/A	-0.7118	1183	-1.8271	running	730 m	Los Angeles, Oakland, San Diego, Fremont	0.692	0.6431
2	186 kg	-0.8971	volleyball	Irvine, Chula Vista	0.6743	1187	-1.1848	basketball	-869 m	Oakland, San Bernardino	0.9464	0.6062
5	-247 kg	0.2771	running	Stockton	0.6032	832	0.6796	basketball	-2559 m	Santa Clarita	-0.2272	0.6581
4	943 kg	-0.2317	ice hockey	Long Beach, San Francisco	1.3382	1360	1.8108	soccer	1912 m	Stockton, Moreno Valley	0.7392	0.5753
1	1233 kg	1.6123	volleyball	Moreno Valley, Santa Ana	0.7682	-313	1.3459	track & field	1836 m	Chula Vista, Bakersfield, Santa Ana, San Jose	1.6501	-0.3774
0	308 kg	0.8694	tennis	Anaheim	0.1923	627	1.1373	baseball	-522 m	Sacramento	0.9407	0.1912
2	-558 kg	1.1053	volleyball	Oakland, Irvine	-0.2415	1360	-0.2171	motor sports	2065 m	Long Beach	0.9744	1.3324
5	-11 kg	-0.4014	golf	Stockton	0.7704	1367	-1.8899	basketball	1896 m	Long Beach	-0.0861	-0.2914
3	331 kg	1.0196	baseball	San Jose	0.972	368	0.6991	ice hockey	-1374 m	San Francisco	0.0399	0.3147
5	274 kg	-0.7024	golf	Stockton	-0.5462	1611	1.5429	basketball	228 m	Long Beach	0.8465	1.6379
3	489 kg	-0.6055	boxing	San Jose	0.2053	-1521	0.2557	volleyball	-180 m	San Francisco	0.4631	1.1651
2	-2178 kg	0.3737	volleyball	Chula Vista, Irvine	0.1371	513	1.5712	football	-859 m	Oakland	1.5895	0.6532
4	704 kg	0.16	ice hockey	San Bernardino	0.6152	1031	-0.7521	soccer	1609 m	Moreno Valley, Modesto	0.2883	-0.1691
1	18 kg	-0.2179	motor sports	Santa Ana, Fresno, Moreno Valley, Modesto	1.8096	-476	0.7922	track & field	1034 m	Chula Vista, Irvine, Santa Ana, Anaheim, San Jose	2.5046	0.8854
5	856 kg	0.1956	badminton	Stockton	-0.3225	2827	0.7167	basketball	632 m	Long Beach	1.09	0.2032
5	1605 kg	0.3325	golf	Stockton	0.147	1822	1.2503	basketball	111 m	Santa Clarita	0.1126	0.648
2	457 kg	0.245	volleyball	Chula Vista, Irvine	0.5199	1263	0.844	motor sports	1894 m	Los Angeles	1.9997	-0.199
2	-542 kg	-0.0253	volleyball	Oakland	-0.0718	975	-0.4976	football	1110 m	San Diego	1.533	-0.5814
3	-1162 kg	1.179	baseball	Santa Clarita	-0.9496	-256	1.8296	volleyball	1968 m	Riverside	1.3155	0.0127
3	-452 kg	0.7735	boxing	Santa Clarita	-0.0957	789	-0.5774	BADMINTON	820 m	Riverside	0.4604	-1.0884
3	-315 kg	1.025	volleyball	Santa Clarita	2.0482	1066	0.4117	volleyball	791 m	Riverside	0.5279	1.1859
0	479 kg	0.4443	football	Los Angeles, Bakersfield, Anaheim	1.4362	N/A	0.8389	baseball	-964 m	Fresno	1.0926	-0.318
1	485 kg	0.1596	tennis	Fresno	1.5476	962	-0.6044	golf	1638 m	Bakersfield, Chula Vista, Irvine, Santa Ana	-0.7458	0.8752
0	2108 kg	-0.6939		Los Angeles, San Diego	0.3321	406	0.4996	baseball	808 m	Sacramento	1.0267	0.4563
3	-34 kg	0.4602	baseball	San Jose	0.5546	578	0.0067	badminton	424 m	riverside	0.1576	0.4627
5	116 kg	1.0633	golf	stockton	0.777	733	-0.0098	basketball	1294 m	Long Beach	0.7213	0.9176
4	762 kg	0.4555	volleyball	Fresno, Modesto, Santa Ana	0.456	701	1.3935	SOCCER	26 m	Stockton, Moreno Valley	-0.0721	-0.3237
0	1599 kg	0.4484	football	Sacramento, Los Angeles, Bakersfield, Fremont, Anaheim	0.8801	587	0.795	baseball	-1174 m	Fresno	1.2789	-0.3116
1	689 kg	0.1806	motor sports	San Francisco, San Bernardino	1.5954	415	-2.0493	golf	600 m	Chula Vista	0.6709	0.4976
1	-823 kg	1.0293	running	Fresno, Moreno Valley	0.5596	-563	-0.019	golf	-987 m	bAKERSFIELD	-0.1443	1.2217
3	1226 kg	-0.0734	boxing	San Jose	0.8858	1295	0.3752	ice hockey	805 m	Riverside	0.4858	1.0767
1	877 kg	1.0296	running	Santa Ana, Fresno	1.1547	-589	-0.9097	golf	381 m	Bakersfield, San Jose	1.2488	1.7211
0	24 kg	0.0337	football	Los Angeles, Fremont, Bakersfield, San Diego, Sacramento	1.1039	843	-0.1293	baseball	144 m	Fresno	0.146	0.271
0	1177 kg	0.5011	golf	Stockton	-0.3908	-113	0.296	baseball	1235 m	Fresno	-0.2638	-0.6589
5	1754 kg	0.9994	running	Stockton	1.3444	1466	-0.0332	basketball	310 m	Long Beach	0.2851	0.9041
5	1289 kg	0.3327	running	Stockton	0.1453	1343	0.6043	basketball	419 m	sANTA cLARITA	0.7997	0.4517
1	1003 kg	1.1653	track & field	Santa Ana, Riverside, Fresno	-1.5565	-789	-0.1668	track & field	504 m	Bakersfield, San Jose, Santa Ana, Chula Vista, Anaheim	1.0632	0.1288
4	1531 kg	0.7104	ice hockey	San Bernardino	-0.2722	1168	1.1938	soccer	1384 m	Stockton, Moreno Valley	0.5668	0.7157
4	408 kg	0.2866	basketball	Long Beach, San Francisco	-0.6929	476	0.4899	soccer	1395 m	Stockton, Moreno Valley	0.5868	-0.0163
1	-37 kg	0.4865	motor sports	Fresno, Riverside, Modesto, Moreno Valley	0.9439	-285	0.3768	track & field	-624 m	San Jose, Santa Ana, Anaheim	-0.4592	1.9423
4	627 kg	-0.0771	ICE HOCKEY	Long Beach, San Francisco	0.4769	1316	-1.57	SOCCER	1888 m	Moreno Valley	0.4823	0.0533
4	2139 kg	0.6221	basketball	San Francisco, San Bernardino	-0.1684	1088	0.4355	soccer	538 m	Moreno Valley	-1.2028	1.6612
5	154 kg	-0.141	running	Stockton	2.1727	1138	0.4451	basketball	-116 m	Santa Clarita	0.0293	0.7297
0	-260 kg	-0.0757	soccer	San Diego, Sacramento, Anaheim, Fremont, Los Angeles	1.0192	-9	0.5652	baseball	1219 m	Sacramento	2.1918	0.6971
4	1175 kg	0.5922	ice hockey	San Francisco, Long Beach	-0.3867	-177	-0.7206	soccer	-2 m	Modesto, Stockton	0.4907	-0.2296
4	1357 kg	1.6049	soccer	San Francisco	-0.134	861	0.6445	soccer	233 m	Stockton	-0.3464	0.5186
3	-208 kg	-0.3654	boxing	Santa Clarita	0.206	635	1.1114	BADMINTON	2705 m	Riverside	1.249	-0.3849
1	-1021 kg	0.5886	motor sports	Moreno Valley, Riverside, Santa Ana, Modesto	-0.4247	961	0.9717	golf	-456 m	Chula Vista, San Jose, Irvine, Santa Ana, Bakersfield	-0.465	0.7426
5	1975 kg	0.3665	track & field	Stockton	0.0963	1071	0.9253	basketball	-256 m	Long Beach	0.0841	1.2448
4	421 kg	0.5507	basketball	San Bernardino, Long Beach	0.3077	2865	1.9463	soccer	2356 m	Moreno Valley, Stockton	1.0179	-0.3471
4	1068 kg	0.4873	basketball	Long Beach, San Francisco	0.267	41	0.9994	soccer	-249 m	Modesto	-0.1923	0.5885
3	587 kg	2.1129	boxing	San Jose	1.6676	-83	0.6929	ice hockey	-1061 m	Riverside	0.7435	1.4634
4	-5 kg	1.4647	ice hockey	San Francisco	0.2563	1350	-0.7697	soccer	NULL	Modesto, Stockton	1.0806	0.0129
4	3777 kg	1.0413	basketball	Oakland, Chula Vista	1.4958	-99	0.1362	soccer	1204 m	Modesto	0.9291	0.1405
0	125 kg	1.6218	soccer	Los Angeles, San Diego, Bakersfield, Fremont	1.5018	919	1.3673		289 m	Santa Clarita	2.3488	0.8326
2	15 kg	0.6403	volleyball	Oakland, Irvine	-0.1903	732	-0.1703	football	-361 m	fremont, san diego, los angeles	1.7254	1.5688
1	1588 kg	-1.166	volleyball	Fresno, Riverside	2.0255	-144	0.2704	track & field	1855 m	Bakersfield	0.3033	1.249
4	1965 kg	0.9307	ice hockey	Long Beach, San Bernardino	1.9233	667	1.4043	soccer	-888 m	Modesto, Stockton	0.3585	-0.8474
3	-1338 kg	0.9599	boxing	Santa Clarita	-0.8129	-593	-0.6032	baseball	-1647 m	San Francisco	1.0557	-0.2111
0	1521 kg	0.9876	tennis	Sacramento, Fremont, Anaheim	0.7863	1158	1.8317	baseball	2723 m	Sacramento	0.7817	-0.5105
4	1805 kg	0.6532	basketball	Santa Clarita	0.8774	470	1.1807	soccer	N/A	Modesto, Stockton	-0.6688	1.1486
2	1264 kg	1.1128	volleyball	Irvine, Oakland	0.4578	351	0.0224	running	2124 m	Los Angeles, Oakland, San Bernardino	1.5501	0.4468
4	496 kg	0.7672	BASKETBALL	San Bernardino	-0.0451	1417	1.2833	soccer	1148 m	Modesto	-0.4914	?
2	337 kg	0.2611	Baseball	Chula Vista, Oakland	-0.0442	1353	1.3224	motor sports	1810 m	Riverside	1.8325	-0.1923
1	1004 kg	1.0754	motor sports	Modesto, Riverside, Santa Ana	0.3837	-104	-0.4608	track & field	-459 m	Irvine, San Jose, Anaheim	1.0887	1.0597
5	-132 kg	0.7691	baseball	Fresno	0.9037	2255	-0.0109	BASKETBALL	-45 m	Bakersfield	-0.4198	0.5175
1	323 kg	0.171	motor sports	Modesto, Santa Ana, Moreno Valley, Riverside	1.9511	-119	-0.5596	track & field	464 m	Chula Vista, Bakersfield, Santa Ana, Irvine	0.8228	1.6415
5	1034 kg	0.9089	golf	Chula Vista	0.127	394	1.3508	basketball	281 m	Santa Clarita	0.3181	0.65
4	2787 kg	0.0359	basketball	San Francisco, San Bernardino	0.1794	1142	1.9699	soccer	1103 m	Moreno Valley, Stockton	0.671	-0.787
4	881 kg	0.6596	ice hockey	San Bernardino	1.2163	478	0.0067	soccer	1634 m	Moreno Valley	-0.9516	-0.3605
3	-586 kg	0.6279	baseball	Santa Clarita	0.7069	-180	1.1491	volleyball	636 m	sAN fRANCISCO	1.8381	0.4055
0	56 kg	-0.4273	football	Bakersfield	0.8166	751	1.0314	baseball	1638 m	Fresno	0.9424	-0.6625
3	-1690 kg	0.936	baseball	Santa Clarita	0.0959	-1128	0.2009	ice hockey	1020 m	San Francisco	2.2396	1.2235
1	379 kg	0.4121	track & field	Santa Ana	-0.0763	-96	1.3497	track & field	466 m	Long Beach	0.6707	0.5684
3	-99 kg	2.9669	baseball	Long Beach	1.1549	472	1.1613	volleyball	891 m	San Francisco	1.4422	-0.4287
2	536 kg	1.475	volleyball	Chula Vista, Irvine	0.2708	1220	0.0257	motor sports		Long Beach	0.2356	0.7206
4	482 kg	0.4862	basketball	Long Beach	1.2351	1027	1.5635	basketball	-1341 m	Moreno Valley, Modesto	0.9803	-0.0923
3	2400 kg	0.7785	baseball	Chula Vista	0.4156	-874	-0.1382	tennis	-1550 m	Riverside	-0.1578	0.2402
0	1189 kg	-0.5507	soccer	San Diego, Bakersfield, Anaheim, Fremont	-0.0302	1106	2.0709	baseball	481 m	Fresno	0.6011	1.827
5	1992 kg	0.0869	running	Stockton	0.6297	-975	-0.0473	basketball	2092 m	Santa Clarita	1.0329	0.1902
1	955 kg	1.181	motor sports	Fresno, Modesto, Santa Ana	2.1398	797	3.8266	track & field	1920 m	Irvine, Santa Ana, Bakersfield	1.3778	0.9371
3	-850 kg	1.8317	boxing	Santa Clarita	0.1462	817	0.9725	ice hockey	-247 m	Riverside	0.1876	0.7997
3	412 kg	-0.0459	boxing	Santa Clarita	1.0587	-491	1.2408	volleyball	419 m	Riverside	0.7667	0.8895
1	-1039 kg	1.1501	track & field	Modesto, Fresno, Moreno Valley	0.9706	815	0.5811	TRACK & FIELD	-302 m	Anaheim	0.7561	1.5427
2	567 kg	0.336	volleyball	Oakland, Chula Vista	0.2054	1262	0.6727	football	1696 m	Oakland, Fremont	1.6878	0.8953
1	573 kg	0.435	motor sports	Fresno, Moreno Valley	1.4401	1429	-0.5825	golf	-238 m	Long Beach	0.9439	2.2093
1	1095 kg	1.4328	track & field	Moreno Valley, Modesto, Santa Ana	-1.3971	397	1.2387	golf	389 m	Irvine, Bakersfield	-0.477	1.7065
1	1254 kg	0.2312	motor sports	santa ana, riverside, moreno valley, fresno	0.5695	848	-0.827	track & field	-526 m	Anaheim, Santa Ana, Chula Vista, Irvine	1.1122	1.8112
3	-491 kg	0.947	baseball	Santa Clarita	0.039	508	0.467	tennis	191 m	N/A	1.0018	N/A
4	-580 kg	0.395	ice hockey	Long Beach, San Bernardino	NULL	2048	-0.1108	soccer	121 m	mODESTO	-0.091	-0.1599
4	2707 kg	0.2513	ice hockey	Long Beach, San Bernardino	None	448	1.8418	soccer	-811 m	Stockton	0.1774	-0.8922
0	923 kg	-0.6219	soccer	San Diego, Anaheim	1.4018	145	-0.1972	baseball	2256 m	Fresno	0.5249	1.688
5	-544 kg	0.8769	running	Stockton	0.8336	1186	0.5071	basketball	634 m	Long Beach	1.8723	0.8151
1	182 kg	-1.0386	motor sports	Santa Ana, Modesto, Moreno Valley	0.5924	-14	2.2992	golf	615 m	Chula Vista, Santa Ana	0.1492	0.6535
5	1696 kg	1.0666	badminton	Stockton	1.3234	529	-0.33	basketball	-1171 m	Santa Clarita	0.6004	1.559
3	-233 kg	0.7033	boxing	Santa Clarita	-0.1752	19	-0.7074	volleyball	569 m	Riverside	1.2969	1.2276
3	-340 kg	1.0685	boxing	Irvine, Chula Vista	0.9879	-10	0.7267	volleyball	84 m	RIVERSIDE	-0.083	-0.545
0	1054 kg	2.0415	Football	Los Angeles	1.6398	1574	0.7991	baseball	-117 m	Fresno	1.9774	-0.6674
3	114 kg	1.2679	baseball	San Jose	0.0201	675	1.8384	tennis	1094 m	Riverside	0.0309	0.1336
0	79 kg	0.2278	football	Fremont, Anaheim, Sacramento, Los Angeles	1.3907	2594	-0.005	baseball	1319 m	Sacramento	1.4242	2.0569
4	-972 kg	-1.0792	basketball	Long Beach, San Bernardino	1.2986	-32		soccer	1518 m	Modesto, Moreno Valley	-0.4174	0.4737
3	305 kg	1.3164	badminton	San Jose	-0.0823	67	1.1281	ice hockey	1121 m	Riverside	0.0651	0.2492
5	1162 kg	0.0833	badminton	Stockton	-0.4826	1277	-0.5408	basketball	-82 m	Santa Clarita	1.3292	0.7597
2	459 kg	0.6165	VOLLEYBALL	Chula Vista	-1.3309	1619	0.4972	motor sports	1484 m	Stockton	-0.5487	0.4464
0	-99 kg	1.5219	football	San Diego, Sacramento	2.0693	844	0.4186	baseball	2843 m	Sacramento	1.8447	0.6296
1	937 kg	0.6682	track & field	Moreno Valley	0.4445	-9	1.399	golf	1249 m	Irvine, Bakersfield, Anaheim, Santa Ana	0.4205	0.5808
2	602 kg	0.2421	volleyball	Irvine, Oakland	0.5878	-470	0.0934	boxing	1364 m	Fremont	-0.1673	1.3041
1	79 kg	-0.9843	TRACK & FIELD	Modesto, Moreno Valley	1.0132	248	0.169	golf	-1038 m	San Jose, Anaheim	0.2054	0.3884
2	469 kg	0.9212	volleyball	Irvine, Chula Vista	0.3742	1196	0.6946	football	189 m	Los Angeles	1.2245	0.7443
0	1125 kg	0.366	tennis	Los Angeles	0.0859	879	0.8767	baseball	1273 m	Sacramento	-0.0502	0.7087
2	978 kg	-0.069	volleyball	Irvine, Oakland	-0.2471	1625	1.2051	boxing	418 m	San Diego, San Bernardino, Los Angeles, Fremont	1.9871	0.3984
1	207 kg	-0.2456	track & field	Santa Ana, Fresno, Moreno Valley	-0.7802	-140	1.3778	golf	-846 m	Bakersfield	0.9361	-0.1169
3	-3 kg	1.1312	boxing	San Jose	1.8266	807	0.6784	ice hockey	206 m	Riverside	0.7951	1.4714
3	1503 kg	0.573	boxing	Sacramento, Bakersfield, Los Angeles, San Diego	0.1035	-230	2.6794	baseball	404 m	Riverside	0.8376	0.1709
4	3849 kg	0.9924	basketball	Long Beach	1.1462	1022	0.0563	soccer	2358 m	Stockton, Modesto	-0.176	0.3104
3	167 kg	0.6287	boxing	Santa Clarita	-0.4787	-1052	1.8269	ice hockey	-630 m	San Francisco	0.8633	-0.5996
1	-185 kg	0.7183	motor sports	Moreno Valley, Modesto, Santa Ana, Riverside	-1.3993	513	-0.774	GOLF	1355 m	Anaheim	1.4167	0.0793
0	2545 kg	-0.2181	football	Irvine, Oakland	0.1801	1899	1.2789	baseball	1234 m	Sacramento	0.2246	0.3556
2	2117 kg	0.574	volleyball	Oakland, Chula Vista	1.9537	315	0.985	motor sports	954 m	San Diego	0.9239	-0.0922
3	1234 kg	0.6489	boxing	Santa Clarita	0.4587	1416	1.2428	volleyball	-798 m	Los Angeles	1.6705	-0.0173
0	-91 kg	0.6377	tennis	Anaheim, Bakersfield, Los Angeles	0.2481	90	0.1658	baseball	-325 m	Sacramento	1.7955	0.7436
5	388 kg	0.0849	badminton	Stockton	-0.222	1980	0.9247	basketball	2222 m	Long Beach	1.2214	1.04
1	972 kg	0.1156	volleyball	Oakland	-1.1477	1091	-0.6401	track & field	1384 m	Anaheim	1.668	0.1767
0	162 kg	0.589	tennis	Fremont, San Diego	-0.3203	1244	1.6543	baseball	1681 m	Sacramento	2.263	-0.1241
0	105 kg	0.7092	football	Fremont	0.6329	1048	1.4702	soccer	1329 m	Sacramento	0.8987	0.396
1	-1850 kg	1.0464	track & field	Anaheim, Fremont, Sacramento, Los Angeles, San Diego	0.1084	-331	0.4502	track & field	-456 m	Bakersfield, San Jose, Anaheim	0.4228	0.0158
0	126 kg	-0.3603	tennis	Sacramento, Bakersfield, Fremont	0.3083	417	1.7856	baseball	1316 m	Fresno	1.5241	-0.1657
5	1439 kg	0.7364	golf	Stockton	-0.4882	332	-1.2937	basketball	674 m	Stockton, Modesto	1.0834	0.9099
0	-13 kg	1.0172	tennis	San Diego, Bakersfield, Sacramento, Fremont, Anaheim	1.201	241	-0.3093	baseball	-793 m	Sacramento	2.0198	1.1304
0	1785 kg	1.2023	soccer	Riverside, Moreno Valley, Fresno, Modesto	1.0427	1028	-0.754	baseball	2168 m	Stockton	0.3514	N/A
3	703 kg	-0.2384	boxing	Santa Clarita	1.2246	-1027	-0.4756	tennis	-266 m	San Francisco	-0.2891	0.2099
4	1435 kg	1.2327	basketball	San Francisco, San Bernardino	2.0491	357	1.9865	football	-250 m	Moreno Valley, Modesto	0.862	0.8996
0	1257 kg	2.1313	volleyball	Bakersfield, Anaheim, Los Angeles	1.3151	1774	2.0652	motor sports	997 m	Fresno	-0.1149	0.9426
0	-1044 kg	0.9593	TENNIS	Bakersfield, Sacramento, San Diego, Anaheim, Los Angeles	0.1852	501	0.6796	baseball	518 m	Sacramento	1.3626	0.1469
5	777 kg	1.1505	volleyball	Stockton	0.1517	1694	0.919	basketball	2098 m	Santa Clarita	0.5341	2.2775
5	-85 kg	0.9579	golf	Stockton	None	988	-0.0434	basketball	821 m	Santa Clarita	-0.0744	0.6052
5	928 kg	0.3542	golf	STOCKTON	0.1187	984	-0.9572	basketball	1994 m	Long Beach	0.7194	1.6571
4	-784 kg	1.6374	ice hockey	Chula Vista	0.2931	91	-0.5743	soccer	673 m	moreno valley	0.681	0.9423
5	500 kg	1.6218	badminton	Stockton	0.148	1126	-0.3203	basketball	276 m	Santa Clarita	1.7674	0.4903
5	2069 kg	0.3974	running	Stockton	1.6006	-728	0.2913	basketball	-896 m	Santa Clarita	-0.2313	0.5204
5	1422 kg	0.5439	running	Stockton	1.3213	546	-1.6953	basketball	-6 m	Santa Clarita	-0.1098	-0.3128
0	643 kg	0.2304	Soccer	Bakersfield, San Diego, Anaheim, Los Angeles, Sacramento	0.8846	1188	0.9058	baseball	-76 m	SACRAMENTO	0.2573	-0.6495
5	1313 kg	1.1033	golf	Stockton	0.3157	1496	-0.5992	basketball	1829 m	LONG BEACH	-0.2465	0.7416
3	-27 kg	0.9325	boxing	San Jose	1.4296	289	0.5234	badminton	-583 m	Riverside	0.74	0.7534
5	1028 kg	1.6128	golf	Stockton	-0.0577	736	-0.7628	basketball	48 m	Santa Clarita	0.3699	-0.7262
4	1838 kg	-0.6156	ice hockey	San Francisco, Long Beach	1.5619	783	1.0889	soccer	-693 m	Stockton	-0.9357	-0.9183
3	431 kg	1.5041	badminton	San Jose	0.8452	83	1.6152	Volleyball	-1548 m	Riverside	-0.478	-1.223
3	-912 kg	0.5231	baseball	Santa Clarita	1.4164	69	0.9773	badminton	15 m	Riverside	0.3356	2.1062
1	609 kg	-0.1681	motor sports	Riverside	0.2672	960	1.3376	track & field	-719 m	Santa Ana, Anaheim, Irvine, Bakersfield, San Jose	-0.0243	None
3	-151 kg	1.2323	boxing	Oakland, Chula Vista	0.7935	800	-0.0896	badminton	135 m	San Francisco		-0.2065
1	888 kg	1.6306	motor sports	Riverside, Santa Ana, Fresno, Modesto	None	-823	1.2609	GOLF	-729 m	San Jose, Bakersfield, Chula Vista, Santa Ana	0.0403	0.485
2	-493 kg	0.5154	volleyball	Fremont	1.0622	1950	0.5182	football	-905 m	San Diego, Los Angeles	1.479	0.4674
2	-567 kg	0.2246	volleyball	San Bernardino, Long Beach	0.78	41	0.2244	motor sports	1549 m	San Diego, Fremont	0.3919	2.3893
5	1758 kg	0.408	RUNNING	Stockton	0.82	1015	-1.4559	basketball	798 m	Long Beach	0.2718	0.0313
0	-490 kg	0.9099	tennis	Bakersfield, Sacramento	0.494	648	0.9521	baseball	838 m	Fresno	1.1997	0.1192
0	660 kg	0.739	soccer	Bakersfield, Fremont, San Diego, Los Angeles, Anaheim	1.4234	70	1.6592	baseball	1572 m	Fresno	0.6981	0.2409
3	869 kg	0.8393	baseball	Sacramento, Bakersfield, San Diego, Los Angeles, Anaheim	0.1722	713	N/A	volleyball	-1144 m	Riverside	1.1878	0.9995
5	174 kg	0.0617	motor sports	Stockton	-0.1182	1648	0.3193	basketball	-520 m	Long Beach	0.2342	1.0217
5	1226 kg	0.6127	badminton	Stockton	1.22	1913	-0.7319	basketball	1364 m	Long Beach	1.5933	-0.199
3	-1074 kg	0.2565	boxing	San Jose	-0.0461	-676	1.7596	volleyball	1132 m	San Francisco	-1.894	n/a
2	1012 kg	0.7554	volleyball	Irvine	0.5821	1129	-0.0846	boxing	2128 m	Los Angeles, Fremont	0.4354	2.1373
3	609 kg	0.3617	baseball	San Jose	1.866	106	0.5088	volleyball	456 m	Riverside	0.9117	1.2702
4	3079 kg	1.4082	ice hockey	San Francisco, Long Beach	0.3159	1420	-1.3037	baseball	-880 m	Stockton, Moreno Valley	0.5712	0.7136
4	0 kg	0.5446	ice hockey	San Francisco	-0.0474	1537	1.3652	tennis	175 m	Moreno Valley, Modesto	0.8364	-0.1563
1	217 kg	1.3943	track & field	Modesto, Riverside, Moreno Valley	-0.4528	-96	1.0412	track & field	1358 m	Irvine, San Jose, Anaheim, Bakersfield	-1.1973	1.4229
3	2231 kg	0.011	baseball	San Jose	0.8371	355	1.1335	volleyball	-125 m	San Francisco	-0.3126	0.5831
1	-1096 kg	0.3006	motor sports	San Jose	1.2322	1061	1.3447	track & field	180 m	Anaheim, Chula Vista, Santa Ana, Bakersfield, Irvine	-0.6632	1.6277
0	556 kg	0.0328	soccer	Sacramento, San Diego, Fremont, Los Angeles, Anaheim	0.2532	748	1.8353	badminton	2124 m	Fresno	0.4602	1.4917
0	1528 kg	1.3604	football	San Diego, Los Angeles, Anaheim, Sacramento, Fremont	2.0636	501	1.7215	baseball	1128 m	Fresno	0.7246	-0.5271
2	282 kg	0.7906	volleyball	Irvine	2.1971	468	0.868	BOXING	33 m	Fresno	0.2146	0.7734
1	2217 kg	0.2014	motor sports	Modesto	0.1872	-566	0.8272	golf	795 m	Moreno Valley	0.4654	1.089
3	852 kg	0.4512	baseball	San Bernardino, San Francisco	0.7023	393	0.4705	badminton	29 m	Riverside	0.3879	-0.4276
1	-1534 kg	0.6161	track & field	Santa Ana	0.7381	-329	1.3041	golf	337 m	Anaheim, Bakersfield, San Jose	-0.3942	0.1769
